age,gender,marital_status,education_level,employment_status,debt_to_income_ratio,credit_score,loan_amount,loan_purpose,interest_rate,loan_term,num_of_open_accounts,num_of_delinquencies,loan_paid_back,annual_income_log,current_balance_log
44,female,single,bachelor's,retired,0.069,651.0,16438.26,debt_consolidation,13.71,60,8,3,1,12.113910864313548,11.391727078637855
21,male,married,high_school,student,0.45849999999999996,680.0,17972.01,medical,11.58,36,5,2,0,10.108531896909568,9.329491360447218
64,male,single,bachelor's,employed,0.125,725.0,12732.53,car,11.55,36,1,2,1,10.102259309792197,8.876538965510667
28,male,married,high_school,employed,0.281,671.0,500.0,debt_consolidation,12.16,60,3,3,1,8.990637145950565,8.34250403362109
44,male,married,bachelor's,employed,0.094,591.0,11414.78,business,14.9,36,3,3,1,10.955324570772389,10.828999042259085
31,male,married,master's,employed,0.301,703.0,28674.36,debt_consolidation,16.5,60,3,0,1,8.784015197680349,8.698410805756554
71,male,single,bachelor's,self-employed,0.036,661.0,35661.52,education,12.77,36,7,5,1,10.295020051034129,10.747303715987606
37,male,married,high_school,employed,0.24,685.0,40266.07,debt_consolidation,16.09,36,5,6,0,10.04878760946685,8.917915068167206
28,male,single,bachelor's,employed,0.085,697.0,14930.8,education,15.31,36,6,0,0,9.636851125363151,9.079185581565449
55,other,divorced,high_school,employed,0.208,787.0,24161.05,education,10.13,60,5,1,1,10.538445611789045,9.806923236631784
55,male,married,master's,employed,0.199,580.0,14081.82,car,14.47,36,4,5,1,11.560327332568447,9.8792092041265
53,male,single,master's,unemployed,0.244,767.0,16836.33,car,12.55,36,5,1,0,10.937993582183491,10.245651773321939
25,female,single,master's,employed,0.049,748.0,20935.37,debt_consolidation,10.85,60,5,2,1,10.042287728214106,9.502402338672225
62,female,married,high_school,employed,0.098,623.0,20671.31,debt_consolidation,9.65,36,4,2,1,11.694094691419854,11.249259353467496
59,female,married,high_school,employed,0.043,760.0,17757.35,business,11.02,60,4,2,1,10.06033658852368,10.368791405112551
61,male,married,phd,employed,0.047,613.0,18166.22,education,13.94,36,4,2,1,11.156169374882094,10.894810986012763
48,female,single,high_school,unemployed,0.197,713.0,17686.21,other,12.36,60,7,4,0,9.457485565508392,8.581757337225493
27,female,married,bachelor's,self-employed,0.028,624.0,25134.1,debt_consolidation,14.64,60,6,3,1,10.360669965126856,10.464238410321679
29,female,single,master's,employed,0.233,672.0,7638.21,debt_consolidation,10.85,36,5,2,1,9.786861035354365,9.629631459217684
28,female,married,bachelor's,student,0.24,723.0,10559.42,debt_consolidation,11.22,36,8,5,0,11.746486881390789,10.611355597530757
32,female,divorced,bachelor's,employed,0.185,694.0,10849.28,medical,10.69,60,7,0,1,10.084666373322593,10.316027243332847
54,female,married,high_school,employed,0.048,665.0,18419.66,debt_consolidation,12.09,36,7,2,1,9.887458267222428,9.130539301772627
53,female,single,other,self-employed,0.187,692.0,21910.74,education,10.32,36,7,6,1,10.77910586203689,10.450457431237762
68,male,widowed,bachelor's,retired,0.349,641.0,8325.04,debt_consolidation,14.87,36,2,6,1,10.350250381988596,9.57316586246538
75,female,single,high_school,unemployed,0.4,677.0,500.0,education,9.11,36,10,3,0,11.788179604596303,11.177767923758156
43,female,married,bachelor's,employed,0.191,710.0,30605.55,debt_consolidation,12.79,36,3,3,1,10.685282083650895,9.786895307606963
44,male,married,high_school,employed,0.205,730.0,15727.55,vacation,12.02,60,4,3,1,10.539242615478935,9.80329864105076
57,other,single,bachelor's,unemployed,0.307,522.0,22775.29,car,13.49,36,7,6,0,10.9322701911443,10.698538807135971
55,male,single,bachelor's,unemployed,0.097,729.0,9133.98,debt_consolidation,12.2,36,7,2,1,10.366951406491562,9.679821989997764
64,male,single,high_school,employed,0.07,575.0,13429.31,medical,15.86,36,8,3,1,10.64280814321567,7.958118756922595
60,female,married,high_school,student,0.13,669.0,17696.95,debt_consolidation,13.77,36,4,2,0,9.997505989308632,9.404664607561287
42,male,married,high_school,employed,0.209,666.0,13980.08,debt_consolidation,10.93,36,6,4,0,10.126927060050981,9.964419421265044
47,male,married,high_school,employed,0.067,533.0,10636.93,other,11.9,60,2,1,1,9.951748052648792,8.78947579841111
55,male,single,bachelor's,employed,0.206,810.0,14204.0,other,11.04,60,8,5,1,10.734186844287525,8.866818545282364
21,male,married,master's,employed,0.046,633.0,7313.37,business,10.67,36,9,4,1,10.100906649093892,10.011536700580482
55,male,married,high_school,employed,0.261,629.0,13254.56,car,11.96,60,5,0,0,10.967856679462344,8.872635776312402
57,male,single,high_school,unemployed,0.01,850.0,3523.01,car,6.45,60,3,2,1,9.980712910589315,9.33404804448206
67,male,single,bachelor's,unemployed,0.124,556.0,11670.94,debt_consolidation,14.24,36,6,3,0,9.919866187399919,7.799761514974966
34,other,single,bachelor's,employed,0.018,673.0,13321.75,debt_consolidation,12.12,36,4,2,1,10.643150885087138,9.71402354908991
23,other,married,master's,retired,0.071,702.0,14200.63,business,7.34,36,2,3,1,10.583154532075094,8.351945837268469
21,male,married,other,retired,0.296,674.0,9172.36,debt_consolidation,13.92,36,6,5,1,11.014184197035853,9.566893908545339
25,female,married,bachelor's,employed,0.204,575.0,7827.92,debt_consolidation,14.64,36,3,3,1,9.790648027570695,9.758194692798007
46,male,married,high_school,unemployed,0.247,630.0,13289.06,business,13.78,36,4,2,0,9.576998814534859,8.487354409984176
75,male,single,high_school,employed,0.158,702.0,14285.8,debt_consolidation,11.79,36,5,2,1,11.229691750553577,10.856572016364293
34,male,married,high_school,employed,0.19,745.0,15574.09,car,11.79,36,3,3,1,9.687489660082772,9.12397278770754
59,female,single,master's,self-employed,0.082,788.0,14432.59,car,10.93,60,7,4,1,10.997882627914214,10.26631478229339
47,female,married,bachelor's,employed,0.173,673.0,11581.36,medical,11.9,36,4,2,1,9.089136115612622,8.462998850955548
29,male,single,high_school,employed,0.116,740.0,9598.11,debt_consolidation,13.89,36,4,3,1,10.840803497377273,9.802573802013729
35,male,single,master's,employed,0.274,751.0,24719.93,debt_consolidation,10.54,36,6,1,0,10.493291071109754,9.226981143124307
35,male,married,master's,unemployed,0.096,762.0,26749.81,car,9.15,36,6,6,1,10.742878233414219,10.51331643737009
46,female,single,phd,employed,0.196,673.0,15596.14,debt_consolidation,13.65,60,6,1,1,10.960453722464665,9.170900754865178
62,female,married,high_school,employed,0.107,703.0,17774.27,education,16.02,36,7,2,1,11.068387612760823,10.178001935231817
33,male,widowed,high_school,retired,0.189,708.0,25727.88,education,11.01,60,2,4,1,10.779025454164792,10.02540646808247
71,female,married,high_school,retired,0.174,708.0,8470.53,car,10.45,36,3,3,1,11.00100290645791,10.79692656134256
52,male,single,bachelor's,employed,0.123,760.0,5661.45,vacation,7.97,36,4,1,1,11.173827564308146,10.26886615947137
59,female,single,bachelor's,employed,0.33,673.0,7537.98,home,12.12,60,5,4,1,11.26460576230462,11.373866480462283
69,female,married,master's,employed,0.183,709.0,35531.62,business,9.57,36,4,1,1,10.811170947337121,10.681535008277562
72,male,single,high_school,self-employed,0.082,700.0,15518.16,car,12.62,60,7,0,1,9.931701761897296,10.017046122132
52,female,married,bachelor's,retired,0.029,592.0,12562.86,car,13.47,36,5,0,1,10.349262844211664,10.526349330221633
24,female,married,master's,employed,0.034,673.0,27535.96,debt_consolidation,8.91,36,5,1,1,10.44049570280956,10.00585143276352
50,male,married,high_school,employed,0.046,734.0,32697.14,car,10.73,60,5,1,1,10.092168843282664,8.073084963315742
57,male,married,high_school,self-employed,0.068,702.0,8302.32,car,10.36,36,8,1,1,9.812265504920386,9.851105771224725
43,female,single,bachelor's,self-employed,0.364,580.0,2853.44,other,15.57,36,5,5,1,11.055149650349437,8.779342048069747
59,male,married,master's,employed,0.1,721.0,13430.74,debt_consolidation,11.02,36,5,4,1,10.680194326195004,8.901464625170723
65,male,married,other,employed,0.09,721.0,8580.05,car,10.22,36,1,1,1,10.09877222392179,10.125282194481025
35,male,single,master's,employed,0.151,704.0,15169.04,other,13.76,60,6,4,1,10.522645023179866,9.74778183092454
63,female,single,master's,self-employed,0.084,776.0,33826.74,business,8.72,60,2,3,1,10.680502193989946,9.79767749140343
49,female,married,bachelor's,employed,0.126,751.0,16153.24,other,10.3,36,3,1,1,9.807913437904071,7.103396072945168
56,female,married,high_school,employed,0.117,641.0,7308.52,other,11.96,60,5,2,1,10.021063455630932,10.19482530982221
33,female,married,master's,employed,0.051,730.0,1584.44,debt_consolidation,14.43,36,0,2,1,10.311622426977843,8.63404245791253
52,male,married,other,student,0.106,768.0,9876.9,car,8.73,36,3,2,1,10.407088541362487,9.764842536166821
27,female,married,bachelor's,employed,0.267,672.0,13767.29,medical,13.17,36,2,4,0,9.542997483109449,8.781056332007465
71,female,married,bachelor's,employed,0.246,755.0,1622.55,debt_consolidation,8.87,36,2,4,1,10.947582583497569,11.124426465038887
42,male,married,bachelor's,employed,0.108,699.0,5730.12,debt_consolidation,8.42,36,5,1,1,10.518752107431347,9.851859991761478
48,male,single,other,employed,0.237,601.0,500.0,medical,9.66,60,4,3,1,10.351048403602467,9.38176022050096
22,male,single,high_school,employed,0.279,580.0,21619.27,education,10.9,36,6,2,1,10.071172937887075,10.073292350516187
62,female,married,master's,employed,0.107,644.0,15876.01,other,12.54,36,5,4,1,9.89207568415713,9.519800325507656
65,female,married,master's,employed,0.256,611.0,24443.55,debt_consolidation,13.91,60,5,2,1,10.509537261491317,10.002605926501133
73,female,single,master's,unemployed,0.197,839.0,500.0,other,10.39,60,7,2,1,10.594589893836584,8.938534273349164
26,other,married,bachelor's,employed,0.228,714.0,16994.57,education,11.25,36,3,4,1,11.681760654831095,8.911838644251565
48,male,single,other,self-employed,0.277,611.0,14893.19,business,13.07,36,5,2,1,11.735672297601987,11.387570837017474
48,female,single,high_school,retired,0.084,729.0,500.0,other,15.3,36,6,5,1,10.179500555449254,8.706515187854936
64,female,married,high_school,employed,0.07,596.0,11047.84,medical,11.44,36,9,2,1,9.924817933790326,9.693537828624699
64,male,single,bachelor's,student,0.082,601.0,15467.16,home,13.5,36,7,1,0,9.740406111917457,8.860903455914539
40,female,married,high_school,employed,0.093,775.0,6153.63,car,11.1,60,7,2,1,10.55268780898195,9.206191778449849
50,male,divorced,bachelor's,employed,0.279,570.0,500.0,home,17.92,36,1,2,1,9.751391759981127,9.990226559102968
31,female,divorced,high_school,unemployed,0.091,714.0,23343.33,education,10.43,60,4,2,1,9.67236412150418,9.647182692740007
75,female,single,master's,employed,0.201,627.0,3728.03,debt_consolidation,12.05,36,6,2,1,10.059405669525722,9.428168219940147
48,female,married,bachelor's,employed,0.059,675.0,32588.93,debt_consolidation,11.49,60,1,4,1,10.13416902222455,9.609721677899094
45,female,divorced,master's,employed,0.282,624.0,7666.46,debt_consolidation,13.74,60,6,4,0,10.05584247810427,9.951768539477786
59,male,single,high_school,unemployed,0.252,588.0,28644.58,other,17.34,60,6,3,0,9.529540006657657,7.914763843777166
53,female,single,high_school,employed,0.083,554.0,16725.89,debt_consolidation,14.85,60,7,3,1,10.4454562568923,10.676762283324225
21,male,divorced,high_school,employed,0.06,768.0,24609.93,medical,9.61,60,3,4,1,10.434659479309284,8.170491208909112
47,female,single,high_school,employed,0.071,843.0,33152.69,car,8.04,60,4,2,1,11.302644460285446,10.777531525394958
72,female,divorced,high_school,employed,0.317,774.0,10218.95,debt_consolidation,10.78,60,5,5,1,9.75480423275359,7.225801654415337
33,female,married,high_school,employed,0.415,761.0,25042.35,debt_consolidation,12.67,36,2,4,1,10.81594815883493,10.57697550051838
61,male,single,bachelor's,employed,0.22,646.0,8500.7,home,11.75,36,4,1,1,11.570940378576177,10.726312303026196
23,female,single,high_school,employed,0.45849999999999996,713.0,26282.16,debt_consolidation,12.3,36,3,0,1,9.626128678707417,8.430678418371182
59,female,single,bachelor's,retired,0.372,575.0,16256.55,medical,15.12,60,7,2,0,9.84576998239743,8.7354801686428
26,female,single,high_school,employed,0.309,838.0,21977.7,car,10.12,36,4,3,1,9.745311531884242,10.048643616098078
28,male,married,phd,employed,0.305,556.0,21582.12,other,13.17,60,5,5,1,10.768221376332328,9.768317675471653
47,male,married,high_school,self-employed,0.234,720.0,17677.53,debt_consolidation,15.14,36,10,1,1,10.744553319421504,9.694793477900783
29,male,married,bachelor's,self-employed,0.106,738.0,22797.96,debt_consolidation,13.38,36,4,1,1,11.071935868246733,10.040641749871767
57,female,single,bachelor's,self-employed,0.109,703.0,7039.66,education,12.46,36,1,1,1,10.547551626023058,9.539878623994467
53,female,married,master's,employed,0.3,697.0,4183.43,other,12.53,60,2,2,1,11.580544112644022,8.789596130130771
71,other,married,bachelor's,employed,0.055,614.0,19712.38,medical,13.93,60,6,1,1,10.824920241859264,9.660037334419167
62,male,married,bachelor's,employed,0.153,552.0,19504.32,education,17.22,36,4,3,1,11.255167306092265,10.364113599376985
64,male,married,bachelor's,employed,0.26,731.0,21135.25,debt_consolidation,15.14,36,3,3,1,10.593026982984917,9.967220749487208
44,female,single,bachelor's,employed,0.028,749.0,21523.89,debt_consolidation,12.86,36,5,1,1,10.268577788372207,9.780777963821372
35,female,single,high_school,employed,0.287,711.0,23465.6,debt_consolidation,12.7,60,3,1,1,10.393942189520281,10.437578038434387
74,female,divorced,bachelor's,employed,0.036,561.0,17704.32,medical,14.12,36,4,1,0,11.3233392644347,11.268575641711442
52,female,married,other,unemployed,0.078,658.0,17937.89,education,13.9,36,2,1,0,10.976677070446591,9.182452083648984
52,male,single,bachelor's,student,0.091,647.0,32582.34,debt_consolidation,8.79,36,4,1,1,10.940099784327197,10.130213479473566
44,female,married,bachelor's,self-employed,0.181,498.0,18244.67,education,12.79,36,7,4,1,11.095413180163396,10.995049378333352
61,female,single,high_school,employed,0.06,666.0,6806.85,home,13.18,36,8,2,1,10.658511276813512,10.386327196526597
72,female,single,master's,retired,0.097,673.0,6127.73,car,12.18,36,4,2,1,12.189378419146344,11.541669955167173
69,male,married,high_school,student,0.145,812.0,19649.34,debt_consolidation,9.35,36,2,2,1,10.365457750003161,9.095069802431839
69,male,single,high_school,employed,0.165,711.0,15870.48,debt_consolidation,12.91,36,3,0,1,10.565399709279768,10.670191142452712
72,male,divorced,bachelor's,employed,0.255,573.0,13683.35,debt_consolidation,12.75,36,3,4,0,10.230840477198017,9.524369054264096
32,female,married,bachelor's,employed,0.281,648.0,12684.09,vacation,10.17,36,1,3,1,10.799323504508813,8.620585170777254
